xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	PANEL
37.5	38.5	38 5	itération	38	itération	5	1
38.5	39.5	39 5	itération	39	itération	5	1
39.5	40.5	40 5	itération	40	itération	5	1
-0.5	0.5	0 6	itération	0	itération	6	1
0.5	1.5	1 6	itération	1	itération	6	1
1.5	2.5	2 6	itération	2	itération	6	1
2.5	3.5	3 6	itération	3	itération	6	1
3.5	4.5	4 6	itération	4	itération	6	1
4.5	5.5	5 6	itération	5	itération	6	1
5.5	6.5	1	itération	6	itération	6	1
6.5	7.5	7 6	itération	7	itération	6	1
7.5	8.5	8 6	itération	8	itération	6	1
8.5	9.5	9 6	itération	9	itération	6	1
9.5	10.5	10 6	itération	10	itération	6	1
10.5	11.5	11 6	itération	11	itération	6	1
11.5	12.5	12 6	itération	12	itération	6	1
12.5	13.5	13 6	itération	13	itération	6	1
13.5	14.5	14 6	itération	14	itération	6	1
14.5	15.5	15 6	itération	15	itération	6	1
15.5	16.5	16 6	itération	16	itération	6	1
16.5	17.5	17 6	itération	17	itération	6	1
17.5	18.5	18 6	itération	18	itération	6	1
18.5	19.5	19 6	itération	19	itération	6	1
19.5	20.5	20 6	itération	20	itération	6	1
20.5	21.5	21 6	itération	21	itération	6	1
21.5	22.5	22 6	itération	22	itération	6	1
22.5	23.5	23 6	itération	23	itération	6	1
23.5	24.5	24 6	itération	24	itération	6	1
24.5	25.5	25 6	itération	25	itération	6	1
25.5	26.5	26 6	itération	26	itération	6	1
26.5	27.5	27 6	itération	27	itération	6	1
27.5	28.5	28 6	itération	28	itération	6	1
28.5	29.5	29 6	itération	29	itération	6	1
29.5	30.5	30 6	itération	30	itération	6	1
30.5	31.5	31 6	itération	31	itération	6	1
31.5	32.5	32 6	itération	32	itération	6	1
32.5	33.5	33 6	itération	33	itération	6	1
33.5	34.5	34 6	itération	34	itération	6	1
34.5	35.5	35 6	itération	35	itération	6	1
35.5	36.5	36 6	itération	36	itération	6	1
36.5	37.5	37 6	itération	37	itération	6	1
37.5	38.5	38 6	itération	38	itération	6	1
38.5	39.5	39 6	itération	39	itération	6	1
39.5	40.5	40 6	itération	40	itération	6	1
-0.5	0.5	0 7	itération	0	itération	7	1
0.5	1.5	1 7	itération	1	itération	7	1
1.5	2.5	2 7	itération	2	itération	7	1
2.5	3.5	3 7	itération	3	itération	7	1
3.5	4.5	4 7	itération	4	itération	7	1
4.5	5.5	5 7	itération	5	itération	7	1
5.5	6.5	6 7	itération	6	itération	7	1
6.5	7.5	1	itération	7	itération	7	1
7.5	8.5	8 7	itération	8	itération	7	1
8.5	9.5	9 7	itération	9	itération	7	1
9.5	10.5	10 7	itération	10	itération	7	1
10.5	11.5	11 7	itération	11	itération	7	1
11.5	12.5	12 7	itération	12	itération	7	1
12.5	13.5	13 7	itération	13	itération	7	1
13.5	14.5	14 7	itération	14	itération	7	1
14.5	15.5	15 7	itération	15	itération	7	1
15.5	16.5	16 7	itération	16	itération	7	1
16.5	17.5	17 7	itération	17	itération	7	1
17.5	18.5	18 7	itération	18	itération	7	1
18.5	19.5	19 7	itération	19	itération	7	1
19.5	20.5	20 7	itération	20	itération	7	1
20.5	21.5	21 7	itération	21	itération	7	1
21.5	22.5	22 7	itération	22	itération	7	1
22.5	23.5	23 7	itération	23	itération	7	1
23.5	24.5	24 7	itération	24	itération	7	1
24.5	25.5	25 7	itération	25	itération	7	1
25.5	26.5	26 7	itération	26	itération	7	1
26.5	27.5	27 7	itération	27	itération	7	1
27.5	28.5	28 7	itération	28	itération	7	1
28.5	29.5	29 7	itération	29	itération	7	1
29.5	30.5	30 7	itération	30	itération	7	1
30.5	31.5	31 7	itération	31	itération	7	1
31.5	32.5	32 7	itération	32	itération	7	1
32.5	33.5	33 7	itération	33	itération	7	1
33.5	34.5	34 7	itération	34	itération	7	1
34.5	35.5	35 7	itération	35	itération	7	1
35.5	36.5	36 7	itération	36	itération	7	1
36.5	37.5	37 7	itération	37	itération	7	1
37.5	38.5	38 7	itération	38	itération	7	1
38.5	39.5	39 7	itération	39	itération	7	1
39.5	40.5	40 7	itération	40	itération	7	1
-0.5	0.5	0 8	itération	0	itération	8	1
0.5	1.5	1 8	itération	1	itération	8	1
1.5	2.5	2 8	itération	2	itération	8	1
2.5	3.5	3 8	itération	3	itération	8	1
3.5	4.5	4 8	itération	4	itération	8	1
4.5	5.5	5 8	itération	5	itération	8	1
5.5	6.5	6 8	itération	6	itération	8	1
6.5	7.5	7 8	itération	7	itération	8	1
7.5	8.5	1	itération	8	itération	8	1
8.5	9.5	9 8	itération	9	itération	8	1
9.5	10.5	10 8	itération	10	itération	8	1
10.5	11.5	11 8	itération	11	itération	8	1
11.5	12.5	12 8	itération	12	itération	8	1
12.5	13.5	13 8	itération	13	itération	8	1
13.5	14.5	14 8	itération	14	itération	8	1
14.5	15.5	15 8	itération	15	itération	8	1
15.5	16.5	16 8	itération	16	itération	8	1
16.5	17.5	17 8	itération	17	itération	8	1
17.5	18.5	18 8	itération	18	itération	8	1
18.5	19.5	19 8	itération	19	itération	8	1
19.5	20.5	20 8	itération	20	itération	8	1
20.5	21.5	21 8	itération	21	itération	8	1
21.5	22.5	22 8	itération	22	itération	8	1
22.5	23.5	23 8	itération	23	itération	8	1
23.5	24.5	24 8	itération	24	itération	8	1
24.5	25.5	25 8	itération	25	itération	8	1
25.5	26.5	26 8	itération	26	itération	8	1
26.5	27.5	27 8	itération	27	itération	8	1
27.5	28.5	28 8	itération	28	itération	8	1
28.5	29.5	29 8	itération	29	itération	8	1
29.5	30.5	30 8	itération	30	itération	8	1
30.5	31.5	31 8	itération	31	itération	8	1
31.5	32.5	32 8	itération	32	itération	8	1
32.5	33.5	33 8	itération	33	itération	8	1
33.5	34.5	34 8	itération	34	itération	8	1
34.5	35.5	35 8	itération	35	itération	8	1
35.5	36.5	36 8	itération	36	itération	8	1
36.5	37.5	37 8	itération	37	itération	8	1
37.5	38.5	38 8	itération	38	itération	8	1
38.5	39.5	39 8	itération	39	itération	8	1
39.5	40.5	40 8	itération	40	itération	8	1
-0.5	0.5	0 9	itération	0	itération	9	1
0.5	1.5	1 9	itération	1	itération	9	1
1.5	2.5	2 9	itération	2	itération	9	1
2.5	3.5	3 9	itération	3	itération	9	1
3.5	4.5	4 9	itération	4	itération	9	1
4.5	5.5	5 9	itération	5	itération	9	1
5.5	6.5	6 9	itération	6	itération	9	1
6.5	7.5	7 9	itération	7	itération	9	1
7.5	8.5	8 9	itération	8	itération	9	1
8.5	9.5	1	itération	9	itération	9	1
9.5	10.5	10 9	itération	10	itération	9	1
10.5	11.5	11 9	itération	11	itération	9	1
11.5	12.5	12 9	itération	12	itération	9	1
12.5	13.5	13 9	itération	13	itération	9	1
13.5	14.5	14 9	itération	14	itération	9	1
14.5	15.5	15 9	itération	15	itération	9	1
15.5	16.5	16 9	itération	16	itération	9	1
16.5	17.5	17 9	itération	17	itération	9	1
17.5	18.5	18 9	itération	18	itération	9	1
18.5	19.5	19 9	itération	19	itération	9	1
19.5	20.5	20 9	itération	20	itération	9	1
20.5	21.5	21 9	itération	21	itération	9	1
21.5	22.5	22 9	itération	22	itération	9	1
22.5	23.5	23 9	itération	23	itération	9	1
23.5	24.5	24 9	itération	24	itération	9	1
24.5	25.5	25 9	itération	25	itération	9	1
25.5	26.5	26 9	itération	26	itération	9	1
26.5	27.5	27 9	itération	27	itération	9	1
27.5	28.5	28 9	itération	28	itération	9	1
28.5	29.5	29 9	itération	29	itération	9	1
29.5	30.5	30 9	itération	30	itération	9	1
30.5	31.5	31 9	itération	31	itération	9	1
31.5	32.5	32 9	itération	32	itération	9	1
32.5	33.5	33 9	itération	33	itération	9	1
33.5	34.5	34 9	itération	34	itération	9	1
